"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"TILLEY, SG",1,"SMITH COLL, DEPT BIOL SCI, NORTHAMPTON, MA 01060 USA.","smith coll","dept biol sci","01060","northampton","ma","usa",NA,NA,NA,"WOS:A1973P136300002",1,"J","1973","WILEY",1973
"2",2,2,"OFARRELL, MJ",1,"NEW MEXICO HIGHLANDS UNIV,INST SCI RES,LAS VEGAS,NM 87701.","new mexico highlands univ",NA,"87701","nm",NA,"usa",NA,NA,NA,"WOS:A1973P136300003",2,"J","1973","ECOLOGICAL SOC AMER",1973
"3",3,3,"STUDIER, EH",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300003",2,"J","1973","ECOLOGICAL SOC AMER",1973
"4",4,4,"CODY, ML",1,"UNIV CALIF, DEPT BIOL, LOS ANGELES, CA 90024 USA.","univ calif","dept biol","90024","los angeles","ca","usa",NA,NA,NA,"WOS:A1973P136300004",3,"J","1973","WILEY",1973
"5",5,5,"EDNEY, EB",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300005",4,"J","1973","ECOLOGICAL SOC AMER",1973
"6",6,6,"HOLM, E",1,"NAMIB DESERT RES STN GOBABEB,WALVIS BAY,SOUTH AFRICA.","namib desert res stn gobabeb",NA,NA,"walvis bay",NA,"south africa",NA,NA,NA,"WOS:A1973P136300005",4,"J","1973","ECOLOGICAL SOC AMER",1973
"7",7,7,"DYRNESS, CT",1,"USDA,FOREST SERV,FORESTRY SCI LAB,PACIFIC NW FOREST & RANGE EXPT STN,CORVALLIS,OR 97330.","usda",NA,"97330","or",NA,"usa",NA,NA,NA,"WOS:A1973P136300006",5,"J","1973","ECOLOGICAL SOC AMER",1973
"8",8,8,"JOHNSON, PL",1,"COWEETA HYDROL LAB,FRANKLIN,NC 28734.","coweeta hydrol lab",NA,"28734","nc",NA,"usa",NA,NA,NA,"WOS:A1973P136300007",6,"J","1973","ECOLOGICAL SOC AMER",1973
"9",9,9,"SWANK, WT",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300007",6,"J","1973","ECOLOGICAL SOC AMER",1973
"10",10,10,"BEATTIE, AJ",1,"NORTHWESTERN UNIV, DEPT BIOL SCI, EVANSTON, IL 60201 USA.","northwestern univ","dept biol sci","60201","evanston","il","usa",NA,NA,NA,"WOS:A1973P136300008",7,"J","1973","WILEY",1973
"11",11,11,"BREEDLOVE, DE",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300008",7,"J","1973","WILEY",1973
"12",12,12,"EHRLICH, PR",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300008",7,"J","1973","WILEY",1973
"13",13,13,"MARTEN, GG",1,"UNIV BRITISH COLUMBIA, INST RESOURCE ECOL, VANCOUVER, BRITISH COLUMBI, CANADA.","univ british columbia","inst resource ecol",NA,"vancouver","british columbi","canada",NA,NA,NA,"WOS:A1973P136300009",8,"J","1973","ECOLOGICAL SOC AMER",1973
"14",14,14,"CULVER, DC",1,"NORTHWESTERN UNIV,DEPT BIOL SCI,EVANSTON,IL 60201.","northwestern univ",NA,"60201","il",NA,"usa",NA,NA,NA,"WOS:A1973P136300010",9,"J","1973","ECOLOGICAL SOC AMER",1973
"15",15,15,"ROSENZWEIG, ML",1,"SUNY, DEPT BIOL SCI, ALBANY, NY 12203 USA.","suny","dept biol sci","12203","albany","ny","usa",NA,NA,NA,"WOS:A1973P136300011",10,"J","1973","WILEY-BLACKWELL",1973
"16",16,16,"SAKAI, A",1,"HOKKAIDO UNIV,INST LOW TEMP SCI,SAPPORO,JAPAN.","hokkaido univ",NA,NA,"inst low temp sci","sapporo","japan",NA,NA,NA,"WOS:A1973P136300012",11,"J","1973","ECOLOGICAL SOC AMER",1973
"17",17,17,"WEISER, CJ",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300012",11,"J","1973","ECOLOGICAL SOC AMER",1973
"18",18,18,"CALDER, WA",1,"UNIV ARIZONA,DEPT BIOL SCI,TUCSON,AZ 85721.","univ arizona",NA,"85721","az",NA,"usa",NA,NA,NA,"WOS:A1973P136300013",12,"J","1973","ECOLOGICAL SOC AMER",1973
"19",19,19,"CISNE, JL",1,"UNIV CHICAGO,DEPT GEOPHYS SCI,CHICAGO,IL 60637.","univ chicago",NA,"60637","il",NA,"usa",NA,NA,NA,"WOS:A1973P136300014",13,"J","1973","ECOLOGICAL SOC AMER",1973
"20",20,20,"HAVEN, SB",1,"UNIV CALIF, DEPT ZOOL, BERKELEY, CA 94720 USA.","univ calif","dept zool","94720","berkeley","ca","usa",NA,NA,NA,"WOS:A1973P136300015",14,"J","1973","ECOLOGICAL SOC AMER",1973
"21",21,21,"GRIFFIN, JR",1,"UNIV CALIF,HASTINGS NAT HIST RESERVATION,CARMEL VALLEY,CA 93924.","univ calif",NA,"93924","ca",NA,"usa",NA,NA,NA,"WOS:A1973P136300016",15,"J","1973","ECOLOGICAL SOC AMER",1973
"22",22,22,"MARKS, JR",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300017",16,"J","1973","ECOLOGICAL SOC AMER",1973
"23",23,23,"MURDOCH, WW",1,"IMPERIAL COLL,DEPT ZOOL & APPL ENTOMOL,LONDON,ENGLAND.","imperial coll",NA,NA,"dept zool & appl entomol","london","england",NA,NA,NA,"WOS:A1973P136300017",16,"J","1973","ECOLOGICAL SOC AMER",1973
"24",24,24,"BENNETT, BD",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300018",17,"J","1973","ECOLOGICAL SOC AMER",1973
"25",25,25,"KIMBALL, SL",1,"UTAH STATE UNIV,PLANT SCI DEPT,LOGAN,UT 84321.","utah state univ",NA,"84321","ut",NA,"usa",NA,NA,NA,"WOS:A1973P136300018",17,"J","1973","ECOLOGICAL SOC AMER",1973
"26",26,26,"SALISBUR.FB",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1973P136300018",17,"J","1973","ECOLOGICAL SOC AMER",1973
"27",27,27,"DAVIS, J",1,"UNIV CALIF,HASTINGS RESERVATION,CARMEL VALLEY,CA 93924.","univ calif",NA,"93924","ca",NA,"usa",NA,NA,NA,"WOS:A1973P136300019",18,"J","1973","ECOLOGICAL SOC AMER",1973
"28",28,28,"MCCOLL, JG",1,"UNIV WASHINGTON,COLL FOREST RESOURCES,SEATTLE,WA 98105.","univ washington",NA,"98105","wa",NA,"usa",NA,NA,NA,"WOS:A1973P136300020",19,"J","1973","ECOLOGICAL SOC AMER",1973
"29",29,29,"HARMS, WR",1,"USDA,FOREST SERV,SE FOREST EXPT STN,CHARLESTON,SC 29403.","usda",NA,"29403","sc",NA,"usa",NA,NA,NA,"WOS:A1973P136300021",20,"J","1973","ECOLOGICAL SOC AMER",1973
