"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"Dice, LR",1,"Univ Michigan, Ann Arbor, MI USA.","univ michigan",NA,NA,"ann arbor","mi","usa",NA,NA,NA,"WOS:000200149400001",1,"J","1938","ECOLOGICAL SOC AMER",1938
"2",2,2,"Braun, EL",1,"Univ Cincinnati, Cincinnati, OH USA.","univ cincinnati",NA,NA,"cincinnati","oh","usa",NA,NA,NA,"WOS:000200149400002",2,"J","1938","ECOLOGICAL SOC AMER",1938
"3",3,3,"Ayers, JC",1,"Duke Univ, Dept Zool, Durham, NC USA.","duke univ",NA,NA,"durham","nc","usa",NA,NA,NA,"WOS:000200149400003",3,"J","1938","ECOLOGICAL SOC AMER",1938
"4",4,4,"Hansen, HP",1,"Univ Wyoming, Laramic, WY USA.","univ wyoming",NA,NA,"laramic","wy","usa",NA,NA,NA,"WOS:000200149400004",4,"J","1938","ECOLOGICAL SOC AMER",1938
"5",5,5,"Schaefer, MB",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149400005",5,"J","1938","ECOLOGICAL SOC AMER",1938
"6",6,6,"Griggs, RF",1,"George Washington Univ, Washington, DC USA.","george washington univ",NA,NA,"washington","dc","usa",NA,NA,NA,"WOS:000200149400006",6,"J","1938","ECOLOGICAL SOC AMER",1938
"7",7,7,"Pepper, JH",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149400007",7,"J","1938","ECOLOGICAL SOC AMER",1938
"8",8,8,"Campbell, IF",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149400008",8,"J","1938","ECOLOGICAL SOC AMER",1938
"9",9,9,"Campbell, RS",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149400008",8,"J","1938","ECOLOGICAL SOC AMER",1938
"10",10,10,"Hendrickson, GO",1,"Iowa State Coll, Entom & Econ Zool Sect & Div Ind Sci, Ames, IA USA.","iowa state coll",NA,NA,"ames","ia","usa",NA,NA,NA,"WOS:000200149400009",9,"J","1938","ECOLOGICAL SOC AMER",1938
"11",11,11,"Swan, C",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149400009",9,"J","1938","ECOLOGICAL SOC AMER",1938
"12",12,12,"Culley, M",1,"Southwestern Forest & Range Expt Stn, Tucson, AZ USA.","southwestern forest & range expt stn",NA,NA,"tucson","az","usa",NA,NA,NA,"WOS:000200149400010",10,"J","1938","ECOLOGICAL SOC AMER",1938
"13",13,13,"Throne, AL",1,"State Teachers Coll, Milwaukee, WI USA.","state teachers coll",NA,NA,"milwaukee","wi","usa",NA,NA,NA,"WOS:000200149400011",11,"J","1938","ECOLOGICAL SOC AMER",1938
"14",14,14,"Moore, B",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149400012",12,"J","1938","ECOLOGICAL SOC AMER",1938
"15",15,15,"Kluender, WA",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149200001",13,"J","1938","ECOLOGICAL SOC AMER",1938
"16",16,16,"Stoeckeler, JH",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149200001",13,"J","1938","ECOLOGICAL SOC AMER",1938
"17",17,17,"Isley, FB",1,"Trinity Univ, Waxahachic, TX USA.","trinity univ",NA,NA,"waxahachic","tx","usa",NA,NA,NA,"WOS:000200149200002",14,"J","1938","WILEY",1938
"18",18,18,"Miller, E",1,"Univ So Calif, Los Angeles, CA USA.","univ so calif",NA,NA,"los angeles","ca","usa",NA,NA,NA,"WOS:000200149200003",15,"J","1938","ECOLOGICAL SOC AMER",1938
"19",19,19,"Schmidt, KP",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149200004",16,"J","1938","ECOLOGICAL SOC AMER",1938
"20",20,20,"Richardson, CT",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149200005",17,"J","1938","ECOLOGICAL SOC AMER",1938
"21",21,21,"Rigg, GB",1,"Univ Washington, Seattle, WA USA.","univ washington",NA,NA,"seattle","wa","usa",NA,NA,NA,"WOS:000200149200005",17,"J","1938","ECOLOGICAL SOC AMER",1938
"22",22,22,"Welch, PS",1,"Univ Michigan, Ann Arbor, MI USA.","univ michigan",NA,NA,"ann arbor","mi","usa",NA,NA,NA,"WOS:000200149200006",18,"J","1938","ECOLOGICAL SOC AMER",1938
"23",23,23,"Havis, L",1,"Agr Expt Stn, Wooster, OH USA.","agr expt stn",NA,NA,"wooster","oh","usa",NA,NA,NA,"WOS:000200149200007",19,"J","1938","ECOLOGICAL SOC AMER",1938
"24",24,24,"Diebold, CH",1,"Cornell Univ, Ithaca, NY USA.","cornell univ",NA,NA,"ithaca","ny","usa",NA,NA,NA,"WOS:000200149200008",20,"J","1938","ECOLOGICAL SOC AMER",1938
"25",25,25,"Adams, CC",1,"New York State Museum, Albany, NY USA.","new york state museum",NA,NA,"albany","ny","usa",NA,NA,NA,"WOS:000200149200017",21,"J","1938","ECOLOGICAL SOC AMER",1938
"26",26,26,"Gager, CS",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149200018",22,"J","1938","ECOLOGICAL SOC AMER",1938
"27",27,27,"Anderson, HL",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149000001",23,"J","1938","ECOLOGICAL SOC AMER",1938
"28",28,51,"Whitfield, CJ",1,"Conservat Serv, Amarillo, TX USA.","conservat serv",NA,NA,"amarillo","tx","usa",NA,NA,NA,"WOS:000200149000001",23,"J","1938","ECOLOGICAL SOC AMER",1938
"29",29,29,"Bissonnette, TH",1,"Trinity Coll, Hartford, CT USA.","trinity coll",NA,NA,"hartford","ct","usa",NA,NA,NA,"WOS:000200149000002",24,"J","1938","ECOLOGICAL SOC AMER",1938
"30",30,30,"Csech, AG",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149000002",24,"J","1938","ECOLOGICAL SOC AMER",1938
"31",31,31,"Stanley, OB",1,"Colgate Univ, Hamilton, NY USA.","colgate univ",NA,NA,"hamilton","ny","usa",NA,NA,NA,"WOS:000200149000003",25,"J","1938","ECOLOGICAL SOC AMER",1938
"32",32,32,"Park, O",1,"Northwestern Univ, Evanston, IL USA.","northwestern univ",NA,NA,"evanston","il","usa",NA,NA,NA,"WOS:000200149000004",26,"J","1938","ECOLOGICAL SOC AMER",1938
"33",33,33,"Buell, HF",1,"State Coll, Ranleigh, NC USA.","state coll",NA,NA,"ranleigh","nc","usa",NA,NA,NA,"WOS:000200149000005",27,"J","1938","ECOLOGICAL SOC AMER",1938
"34",34,43,"Wolf, AV",1,"Coll New York, Biol Lab, New York, NY USA.","coll new york",NA,NA,"new york","ny","usa",NA,NA,NA,"WOS:000200149000006",28,"J","1938","ECOLOGICAL SOC AMER",1938
