"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"Atwood, Trisha B.",6,"Utah State Univ, Dept Watershed Sci, 5210 Old Main Hill, Logan, UT 84322 USA.","utah state univ","5210 old main hill","84322","logan","ut","usa",NA,NA,NA,"WOS:000449937900006",1,"J","2018","WILEY",2018
"2",2,2,"Greig, Hamish S.",3,"Sch Biol & Ecol, 5751 Murray Hall, Orono, ME 04469 USA.","sch biol & ecol","5751 murray hall","04469","orono","me","usa",NA,NA,NA,"WOS:000449937900006",1,"J","2018","WILEY",2018
"3",3,3,"Hammill, Edd",1,"Utah State Univ, Dept Watershed Sci, 5210 Old Main Hill, Logan, UT 84322 USA.","utah state univ","5210 old main hill","84322","logan","ut","usa",NA,"F-9030-2013","0000-0001-8247-6106","WOS:000449937900006",1,"J","2018","WILEY",2018
"4",4,4,"Hawkins, Charles P.",2,"Utah State Univ, Dept Watershed Sci, 5210 Old Main Hill, Logan, UT 84322 USA.","utah state univ","5210 old main hill","84322","logan","ut","usa",NA,NA,NA,"WOS:000449937900006",1,"J","2018","WILEY",2018
"5",5,5,"Kratina, Pavel",4,"Queen Mary Univ London, Sch Biol & Chem Sci, London E1 4NS, England.","queen mary univ london","sch biol & chem sci","e1 4ns","london ",NA,"england",NA,"O-5192-2019","0000-0002-9144-7937","WOS:000449937900006",1,"J","2018","WILEY",2018
"6",6,6,"Shurin, Jonathan B.",5,"Univ Calif San Diego, Div Biol Sci, 9500 Gilman Dr, La Jolla, CA 92093 USA.","univ calif san diego","9500 gilman dr","92093","la jolla","ca","usa",NA,NA,NA,"WOS:000449937900006",1,"J","2018","WILEY",2018
"7",7,7,"Janssens, Ivan A.",4,"Univ Antwerp, Res Ctr Excellence Plants & Ecosyst, BE-2610 Antwerp, Belgium.","univ antwerp","res ctr excellence plants & ecosyst","2610"," antwerp",NA,"belgium",NA,"P-1331-2014","0000-0002-5705-1787","WOS:000449937900012",2,"J","2018","WILEY",2018
"8",8,8,"Ven, Arne",2,"Univ Antwerp, Res Ctr Excellence Plants & Ecosyst, BE-2610 Antwerp, Belgium.","univ antwerp","res ctr excellence plants & ecosyst","2610"," antwerp",NA,"belgium",NA,NA,NA,"WOS:000449937900012",2,"J","2018","WILEY",2018
"9",9,9,"Verbruggen, Erik",3,"Univ Antwerp, Res Ctr Excellence Plants & Ecosyst, BE-2610 Antwerp, Belgium.","univ antwerp","res ctr excellence plants & ecosyst","2610"," antwerp",NA,"belgium",NA,"AAF-1018-2019","0000-0001-7015-1515","WOS:000449937900012",2,"J","2018","WILEY",2018
"10",10,10,"Verlinden, Melanie S.",1,"Univ Antwerp, Res Ctr Excellence Plants & Ecosyst, BE-2610 Antwerp, Belgium.","univ antwerp","res ctr excellence plants & ecosyst","2610"," antwerp",NA,"belgium",NA,NA,"0000-0002-2077-6776","WOS:000449937900012",2,"J","2018","WILEY",2018
"11",11,11,"Vicca, Sara",6,"Univ Antwerp, Res Ctr Excellence Plants & Ecosyst, BE-2610 Antwerp, Belgium.","univ antwerp","res ctr excellence plants & ecosyst","2610"," antwerp",NA,"belgium",NA,"AAG-2117-2019","0000-0001-9812-5837","WOS:000449937900012",2,"J","2018","WILEY",2018
"12",12,12,"Wallander, Hakan",5,"Lund Univ, Dept Biol, S-22362 Lund, Sweden.","lund univ","dept biol","22362"," lund",NA,"sweden",NA,NA,NA,"WOS:000449937900012",2,"J","2018","WILEY",2018
"13",13,13,"Agren, Jon",3,"Uppsala Univ, Dept Ecol & Genet, Evolutionary Biol Ctr, SE-75236 Uppsala, Sweden.","uppsala univ","dept ecol & genet","75236"," uppsala",NA,"sweden",NA,"E-6093-2011","0000-0001-9573-2463","WOS:000446270400005",3,"J","2018","WILEY",2018
"14",14,14,"Ehrlen, Johan",2,"Stockholm Univ, Dept Ecol Environm & Plant Sci, SE-10691 Stockholm, Sweden.","stockholm univ","dept ecol environm & plant sci","10691"," stockholm",NA,"sweden",NA,NA,NA,"WOS:000446270400005",3,"J","2018","WILEY",2018
"15",15,15,"Thomann, Michel",1,"Uppsala Univ, Dept Ecol & Genet, Evolutionary Biol Ctr, SE-75236 Uppsala, Sweden.","uppsala univ","dept ecol & genet","75236"," uppsala",NA,"sweden",NA,NA,NA,"WOS:000446270400005",3,"J","2018","WILEY",2018
"16",16,16,"Allgeier, Jacob E.",1,"Univ Michigan, Dept Ecol & Evolut Biol, 2220 Biol Sci,Bldg 1105 N Univ Ave, Ann Arbor, MI 48109 USA.","univ michigan","bldg 1105 n univ ave","48109","ann arbor","mi","usa",NA,NA,NA,"WOS:000440407500009",4,"J","2018","WILEY",2018
"17",17,17,"Appaldo, Richard",5,"Univ Michigan, Dept Ecol & Evolut Biol, 2220 Biol Sci,Bldg 1105 N Univ Ave, Ann Arbor, MI 48109 USA.","univ michigan","bldg 1105 n univ ave","48109","ann arbor","mi","usa",NA,NA,NA,"WOS:000440407500009",4,"J","2018","WILEY",2018
"18",18,18,"Hensel, Enie",4,"North Carolina State Univ, Dept Appl Ecol, 100 Eugene Brooks Ave,127 David Clark Labs, Raleigh, NC 27695 USA.","north carolina state univ","127 david clark labs","27695","raleigh","nc","usa",NA,NA,NA,"WOS:000440407500009",4,"J","2018","WILEY",2018
"19",19,19,"Layman, Craig A.",2,"North Carolina State Univ, Dept Appl Ecol, 100 Eugene Brooks Ave,127 David Clark Labs, Raleigh, NC 27695 USA.","north carolina state univ","127 david clark labs","27695","raleigh","nc","usa",NA,NA,NA,"WOS:000440407500009",4,"J","2018","WILEY",2018
"20",20,20,"Montana, Carmen G.",3,"Sam Houston State Univ, Dept Biol Sci, 1900 Ave 1,Lee Drain Bldg,Suite 300, Huntsville, TX 77340 USA.","sam houston state univ","suite 300","77340","huntsville","tx","usa",NA,NA,NA,"WOS:000440407500009",4,"J","2018","WILEY",2018
"21",21,21,"Rosemond, Amy D.",6,"Univ Georgia, Odum Sch Ecol, 120 East Green St, Athens, GA 30602 USA.","univ georgia","120 east green st","30602","athens","ga","usa",NA,NA,NA,"WOS:000440407500009",4,"J","2018","WILEY",2018
"22",22,22,"Camara, Edeltrudes M. V. C.",7,"Bicho do Mato Inst Pesquisa, Ave Consul Antonio Cadar 600, BR-30360008 Belo Horizonte, MG, Brazil.","bicho do mato inst pesquisa","bicho do mato inst pesquisa","30360008"," belo horizonte","mg","brazil",NA,NA,NA,"WOS:000440407500021",5,"J","2018","WILEY",2018
"23",23,23,"Camargo, Nicholas F.",3,"Univ Brasilia, Inst Ciencias Biol, Dept Ecol, Lab Ecol Vertebrados, Campus Darcy Ribeiro, BR-70919970 Brasilia, DF, Brazil.","univ brasilia","inst ciencias biol","70919970"," bia","df","brazil",NA,"Q-2039-2019","0000-0001-6859-8780","WOS:000440407500021",5,"J","2018","WILEY",2018
