"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"Cassemiro, Fernanda A. S.",1,"Univ Fed Goias, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","univ fed goias","dept ecol","74001970"," goiania","go","brazil",NA,NA,NA,"WOS:000285635100033",1,"J","2010","WILEY",2010
"2",2,2,"Felizola Diniz-Filho, Jose Alexandre",2,"Univ Fed Goias, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","univ fed goias","dept ecol","74001970"," goiania","go","brazil",NA,"D-9405-2013","0000-0002-0967-9684","WOS:000285635100033",1,"J","2010","WILEY",2010
"3",3,3,"Pablo Castillo, Juan",1,"Univ Nacl Autonoma Mexico, Inst Ecol, Dept Ecol Biodiversidad, Mexico City 04510, DF, Mexico.","univ nacl autonoma mexico","inst ecol"," 04510","mexico city","df","mexico",NA,NA,NA,"WOS:000285635100026",2,"J","2010","WILEY",2010
"4",4,4,"Valiente-Banuet, Alfonso",3,"Univ Nacl Autonoma Mexico, Inst Ecol, Dept Ecol Biodiversidad, Mexico City 04510, DF, Mexico.","univ nacl autonoma mexico","inst ecol"," 04510","mexico city","df","mexico",NA,NA,NA,"WOS:000285635100026",2,"J","2010","WILEY",2010
"5",5,5,"Verdu, Miguel",2,"CSIC UV GV, Ctr Invest Desertificac CIDE, Valencia 46470, Spain.","csic uv gv","ctr invest desertificac cide","encia","val",NA,"spain",NA,"Q-3550-2019","0000-0002-9778-7692","WOS:000285635100026",2,"J","2010","WILEY",2010
"6",6,5,"Verdu, Miguel",2,"CSIC UV GV, Ctr Invest Desertificac CIDE, Valencia 46470, Spain.","csic uv gv","ctr invest desertificac cide","encia","val",NA,"spain",NA,"Q-3550-2019","0000-0002-9778-7692","WOS:000285635100026",2,"J","2010","WILEY",2010
"7",7,5,"Verdu, Miguel",2,"CSIC UV GV, Ctr Invest Desertificac CIDE, Valencia 46470, Spain.","csic uv gv","ctr invest desertificac cide","encia","val",NA,"spain",NA,"C-4461-2008","0000-0002-9778-7692","WOS:000285635100026",2,"J","2010","WILEY",2010
"8",8,5,"Verdu, Miguel",2,"CSIC UV GV, Ctr Invest Desertificac CIDE, Valencia 46470, Spain.","csic uv gv","ctr invest desertificac cide","encia","val",NA,"spain",NA,"C-4461-2008","0000-0002-9778-7692","WOS:000285635100026",2,"J","2010","WILEY",2010
"9",9,9,"Burton, Andrew J.",4,"Michigan Technol Univ, Sch Forest Resources & Environm Sci, Houghton, MI 49931 USA.","michigan technol univ","sch forest resources & environm sci","49931","houghton","mi","usa",NA,NA,"0000-0002-3068-0997","WOS:000285635100004",3,"J","2010","ECOLOGICAL SOC AMER",2010
"10",10,10,"Eikenberry, Jennifer R.",5,"Michigan Technol Univ, Sch Forest Resources & Environm Sci, Houghton, MI 49931 USA.","michigan technol univ","sch forest resources & environm sci","49931","houghton","mi","usa",NA,NA,NA,"WOS:000285635100004",3,"J","2010","ECOLOGICAL SOC AMER",2010
"11",11,11,"Pregitzer, Kurt S.",1,"Univ Idaho, Coll Nat Resources, Moscow, ID 83844 USA.","univ idaho","coll nat resources","83844","moscow","id","usa",NA,NA,NA,"WOS:000285635100004",3,"J","2010","ECOLOGICAL SOC AMER",2010
"12",12,12,"Talhelm, Alan F.",3,"Univ Idaho, Coll Nat Resources, Moscow, ID 83844 USA.","univ idaho","coll nat resources","83844","moscow","id","usa",NA,"F-9365-2013","0000-0002-5542-8237","WOS:000285635100004",3,"J","2010","ECOLOGICAL SOC AMER",2010
"13",13,13,"Zak, Donald R.",2,"Univ Michigan, Sch Nat Resources & Environm, Ann Arbor, MI 48109 USA.","univ michigan","sch nat resources & environm","48109","ann arbor","mi","usa",NA,"C-6004-2012","0000-0002-9730-7337","WOS:000285635100004",3,"J","2010","ECOLOGICAL SOC AMER",2010
"14",14,14,"He, Fangliang",2,"Univ Alberta, Dept Renewable Resources, Edmonton, AB T6G 2H1, Canada.","univ alberta","dept renewable resources"," t6g 2h1","ab",NA,"canada",NA,NA,NA,"WOS:000285635100030",4,"J","2010","WILEY",2010
"15",15,15,"Zillio, Tommaso",1,"Univ Alberta, Dept Renewable Resources, Edmonton, AB T6G 2H1, Canada.","univ alberta","dept renewable resources"," t6g 2h1","ab",NA,"canada",NA,NA,NA,"WOS:000285635100030",4,"J","2010","WILEY",2010
"16",16,16,"Alongi, Daniel M.",1,"Australian Inst Marine Sci, Townsville, Qld 4810, Australia.","australian inst marine sci","australian inst marine sci",NA,"townsville","qld ","australia",NA,NA,NA,"WOS:000284158600012",5,"J","2010","ECOLOGICAL SOC AMER",2010
"17",17,206,"Gardner, Beth",1,"US Geol Survey, Patuxent Wildlife Res Ctr, Laurel, MD 20708 USA.","us geol survey","patuxent wildlife res ctr","20708","laurel","md","usa",NA,NA,NA,"WOS:000284158600026",6,"J","2010","WILEY",2010
"18",18,18,"Lucherini, Mauro",3,"Univ Nacl Sur, CONICET, GECM Mammal Behav Ecol Grp, Dept Biol Bioquim & Farm, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","univ nacl sur","conicet","8000"," bahia blanca","buenos aires","argentina",NA,"D-9668-2016",NA,"WOS:000284158600026",6,"J","2010","WILEY",2010
"19",19,19,"Reppucci, Juan",2,"Univ Nacl Sur, CONICET, GECM Mammal Behav Ecol Grp, Dept Biol Bioquim & Farm, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","univ nacl sur","conicet","8000"," bahia blanca","buenos aires","argentina",NA,NA,NA,"WOS:000284158600026",6,"J","2010","WILEY",2010
"20",20,20,"Royle, J. Andrew",4,"US Geol Survey, Patuxent Wildlife Res Ctr, Laurel, MD 20708 USA.","us geol survey","patuxent wildlife res ctr","20708","laurel","md","usa",NA,NA,"0000-0003-3135-2167","WOS:000284158600026",6,"J","2010","WILEY",2010
"21",21,21,"Bischoff, Mascha",2,"Univ Otago, Dept Bot, Dunedin 9054, New Zealand.","univ otago",NA,NA,"dept bot","dunedin ","new zealand",NA,NA,NA,"WOS:000281698400020",7,"J","2010","ECOLOGICAL SOC AMER",2010
"22",22,22,"Campbell, Diane R.",1,"Univ Calif Irvine, Dept Ecol & Evolutionary Biol, Irvine, CA 92697 USA.","univ calif irvine","dept ecol & evolutionary biol","92697","irvine","ca","usa",NA,"A-1653-2012","0000-0002-1147-846X","WOS:000281698400020",7,"J","2010","ECOLOGICAL SOC AMER",2010
"23",23,23,"Lord, Janice M.",3,"Univ Otago, Dept Bot, Dunedin 9054, New Zealand.","univ otago",NA,NA,"dept bot","dunedin ","new zealand",NA,"A-8869-2012","0000-0001-8314-0428","WOS:000281698400020",7,"J","2010","ECOLOGICAL SOC AMER",2010
"24",24,24,"Robertson, Alastair W.",4,"Massey Univ, Inst Nat Resources, Palmerston North 4474, New Zealand.","massey univ",NA,NA,"inst nat resources","palmerston north ","new zealand",NA,"A-7808-2008","0000-0001-6894-2158","WOS:000281698400020",7,"J","2010","ECOLOGICAL SOC AMER",2010
"25",25,39,"Knight, Tiffany",2,"Washington Univ, Dept Biol, St Louis, MO 63130 USA.","washington univ","dept biol","63130","st louis","mo","usa",NA,NA,NA,"WOS:000281698400024",8,"J","2010","ECOLOGICAL SOC AMER",2010
"26",26,26,"Loayza, Andrea P.",1,"Univ Missouri, Dept Biol, St Louis, MO 63121 USA.","univ missouri","dept biol","63121","st louis","mo","usa",NA,NA,NA,"WOS:000281698400024",8,"J","2010","ECOLOGICAL SOC AMER",2010
"27",27,27,"Aerts, R.",6,"Vrije Univ Amsterdam, Dept Syst Ecol, NL-1081 HV Amsterdam, Netherlands.","vrije univ amsterdam","dept syst ecol","1081"," hv amsterdam",NA,"netherlands",NA,NA,"0000-0001-6694-0669","WOS:000281698400027",9,"J","2010","ECOLOGICAL SOC AMER",2010
"28",28,1335,"Cornelissen, J. H. C.",2,"Vrije Univ Amsterdam, Dept Syst Ecol, NL-1081 HV Amsterdam, Netherlands.","vrije univ amsterdam","dept syst ecol","1081"," hv amsterdam",NA,"netherlands",NA,NA,NA,"WOS:000281698400027",9,"J","2010","ECOLOGICAL SOC AMER",2010
"29",29,29,"During, H. J.",3,"Univ Utrecht, Dept Plant Ecol & Biodivers, NL-3508 TB Utrecht, Netherlands.","univ utrecht","dept plant ecol & biodivers","3508"," tb utrecht",NA,"netherlands",NA,NA,NA,"WOS:000281698400027",9,"J","2010","ECOLOGICAL SOC AMER",2010
"30",30,30,"Lang, S. I.",5,"Vrije Univ Amsterdam, Dept Syst Ecol, NL-1081 HV Amsterdam, Netherlands.","vrije univ amsterdam","dept syst ecol","1081"," hv amsterdam",NA,"netherlands",NA,"AAE-5730-2020",NA,"WOS:000281698400027",9,"J","2010","ECOLOGICAL SOC AMER",2010
"31",31,31,"Soudzilovskaia, N. A.",1,"Vrije Univ Amsterdam, Dept Syst Ecol, NL-1081 HV Amsterdam, Netherlands.","vrije univ amsterdam","dept syst ecol","1081"," hv amsterdam",NA,"netherlands",NA,"N-4140-2015",NA,"WOS:000281698400027",9,"J","2010","ECOLOGICAL SOC AMER",2010
"32",32,32,"van Logtestijn, R. S. P.",4,"Vrije Univ Amsterdam, Dept Syst Ecol, NL-1081 HV Amsterdam, Netherlands.","vrije univ amsterdam","dept syst ecol","1081"," hv amsterdam",NA,"netherlands",NA,NA,"0000-0001-9063-2180","WOS:000281698400027",9,"J","2010","ECOLOGICAL SOC AMER",2010
"33",33,33,"Bestley, Sophie",1,"CSIRO Marine & Atmospher Res, Hobart, Tas 7001, Australia.","csiro marine & atmospher res",NA,NA,"hobart","tas ","australia",NA,"E-9521-2013","0000-0001-9342-669X","WOS:000280153500021",10,"J","2010","WILEY",2010
"34",34,34,"Gunn, John S.",4,"CSIRO Marine & Atmospher Res, Hobart, Tas 7001, Australia.","csiro marine & atmospher res",NA,NA,"hobart","tas ","australia",NA,NA,NA,"WOS:000280153500021",10,"J","2010","WILEY",2010
"35",35,35,"Hindell, Mark A.",3,"Univ Tasmania, Sch Zool, Hobart, Tas 7001, Australia.","univ tasmania","sch zool",NA,"hobart","tas ","australia",NA,"C-8368-2013","0000-0002-7823-7185","WOS:000280153500021",10,"J","2010","WILEY",2010
"36",36,35,"Hindell, Mark A.",3,"Univ Tasmania, Sch Zool, Hobart, Tas 7001, Australia.","univ tasmania","sch zool",NA,"hobart","tas ","australia",NA,"K-1131-2013","0000-0002-7823-7185","WOS:000280153500021",10,"J","2010","WILEY",2010
"37",37,37,"Patterson, Toby A.",2,"CSIRO Marine & Atmospher Res, Hobart, Tas 7001, Australia.","csiro marine & atmospher res",NA,NA,"hobart","tas ","australia",NA,"B-3836-2011",NA,"WOS:000280153500021",10,"J","2010","WILEY",2010
"38",38,38,"Dangremond, Emily M.",1,"Washington Univ, Dept Biol, St Louis, MO 63130 USA.","washington univ","dept biol","63130","st louis","mo","usa",NA,NA,"0000-0001-6177-9079","WOS:000280153500010",11,"J","2010","WILEY",2010
"39",39,39,"Knight, Tiffany",3,"Washington Univ, Dept Biol, St Louis, MO 63130 USA.","washington univ","dept biol","63130","st louis","mo","usa",NA,NA,NA,"WOS:000280153500010",11,"J","2010","WILEY",2010
"40",40,40,"Pardini, Eleanor A.",2,"Washington Univ, Dept Biol, St Louis, MO 63130 USA.","washington univ","dept biol","63130","st louis","mo","usa",NA,NA,NA,"WOS:000280153500010",11,"J","2010","WILEY",2010
"41",41,41,"Dorazio, Robert M.",1,"US Geol Survey, Gainesville, FL 32611 USA.","us geol survey",NA,"32611","gainesville","fl","usa",NA,NA,NA,"WOS:000280153500030",12,"J","2010","WILEY",2010
"42",42,42,"Kery, Marc",2,"Swiss Ornithol Inst, CH-6204 Sempach, Switzerland.","swiss ornithol inst","swiss ornithol inst","6204"," sempach",NA,"switzerland",NA,NA,NA,"WOS:000280153500030",12,"J","2010","WILEY",2010
"43",43,43,"Plattner, Matthias",4,"Hintermann & Weber AG, Ecol Consultancy Planning & Res, Reinach, Switzerland.","hintermann & weber ag",NA,NA,"ecol consultancy planning & res","reinach","switzerland",NA,NA,NA,"WOS:000280153500030",12,"J","2010","WILEY",2010
"44",44,20,"Royle, J. Andrew",3,"US Geol Survey, Patuxent Wildlife Res Ctr, Laurel, MD 20708 USA.","us geol survey","patuxent wildlife res ctr","20708","laurel","md","usa",NA,NA,"0000-0003-3135-2167","WOS:000280153500030",12,"J","2010","WILEY",2010
"45",45,45,"Burslem, David F. R. P.",5,"Univ Aberdeen, Sch Biol Sci, Aberdeen AB24 3UU, Scotland.","univ aberdeen","sch biol sci","ab24 3uu","aberdeen ",NA,"scotland",NA,"F-1204-2019","0000-0001-6033-0990","WOS:000277525300016",13,"J","2010","WILEY",2010
