"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,47,"Lutz, HJ",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700001",1,"J","1930","ECOLOGICAL SOC AMER",1930
"2",2,2,"Crowell, MF",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700002",2,"J","1930","ECOLOGICAL SOC AMER",1930
"3",3,3,"Maynard, LA",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700002",2,"J","1930","ECOLOGICAL SOC AMER",1930
"4",4,4,"McCay, CM",1,"Cornell Univ, Anim Nutr Lab, Ithaca, NY USA.","cornell univ",NA,NA,"ithaca","ny","usa",NA,NA,NA,"WOS:000200209700002",2,"J","1930","ECOLOGICAL SOC AMER",1930
"5",5,5,"Titcomb, JW",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700002",2,"J","1930","ECOLOGICAL SOC AMER",1930
"6",6,6,"Kashkarov, D",1,"Middle Asiat State Univ, Tashkent, Turkestan.","middle asiat state univ",NA,NA,"tashkent",NA,"turkestan",NA,NA,NA,"WOS:000200209700003",3,"J","1930","ECOLOGICAL SOC AMER",1930
"7",7,7,"Kurbatov, V",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700003",3,"J","1930","ECOLOGICAL SOC AMER",1930
"8",8,8,"Shirley, HL",1,"Boyce Thompson Inst Plant Res Inc, Yonkers, NY USA.","boyce thompson inst plant res inc",NA,NA,"yonkers","ny","usa",NA,NA,NA,"WOS:000200209700004",4,"J","1930","ECOLOGICAL SOC AMER",1930
"9",9,9,"Melin, E",1,"Coll Forestry, Stockholm, Sweden.","coll forestry",NA,NA,"stockholm",NA,"sweden",NA,NA,NA,"WOS:000200209700005",5,"J","1930","ECOLOGICAL SOC AMER",1930
"10",10,10,"Richardson, RE",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700006",6,"J","1930","ECOLOGICAL SOC AMER",1930
"11",11,11,"Johnson, MS",1,"Univ Minnesota, Minneapolis, MN USA.","univ minnesota",NA,NA,"minneapolis","mn","usa",NA,NA,NA,"WOS:000200209700007",7,"J","1930","ECOLOGICAL SOC AMER",1930
"12",12,12,"Munger, F",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200209700007",7,"J","1930","ECOLOGICAL SOC AMER",1930
