"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"WHITTINGHAM, WF",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1974S000500001",1,"J","1974","WILEY-BLACKWELL",1974
"2",2,2,"WICKLOW, DT",1,"UNIV WISCONSIN, DEPT BOT, MADISON, WI 53706 USA.","univ wisconsin","dept bot","53706","madison","wi","usa",NA,NA,NA,"WOS:A1974S000500001",1,"J","1974","WILEY-BLACKWELL",1974
"3",3,3,"WEBB, T",1,"BROWN UNIV,DEPT GEOL SCI,PROVIDENCE,RI 02912.","brown univ",NA,"02912","ri",NA,"usa",NA,NA,NA,"WOS:A1974S000500002",2,"J","1974","ECOLOGICAL SOC AMER",1974
"4",4,4,"MAXWELL, RK",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1974S000500003",3,"J","1974","WILEY-BLACKWELL",1974
"5",5,5,"THORKELSON, J",1,"UNIV MINNESOTA, DEPT ECOL & BEHAV BIOL, ST PAUL, MN 55101 USA.","univ minnesota","dept ecol & behav biol","55101","st paul","mn","usa",NA,NA,NA,"WOS:A1974S000500003",3,"J","1974","WILEY-BLACKWELL",1974
"6",6,6,"BARNES, WJ",1,"UNIV WISCONSIN,DEPT BOT,MADISON,WI 53706.","univ wisconsin",NA,"53706","wi",NA,"usa",NA,NA,NA,"WOS:A1974S000500004",4,"J","1974","ECOLOGICAL SOC AMER",1974
"7",7,7,"COTTAM, G",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1974S000500004",4,"J","1974","ECOLOGICAL SOC AMER",1974
"8",8,221,"KERFOOT, WC",1,"UNIV MICHIGAN,MUSEUM ZOOL,ANN ARBOR,MI 48104.","univ michigan",NA,"48104","mi",NA,"usa",NA,NA,NA,"WOS:A1974S000500005",5,"J","1974","ECOLOGICAL SOC AMER",1974
"9",9,9,"REED, KL",1,"OREGON STATE UNIV,SCH FORESTRY,CORVALLIS,OR 97331.","oregon state univ",NA,"97331","or",NA,"usa",NA,NA,NA,"WOS:A1974S000500006",6,"J","1974","ECOLOGICAL SOC AMER",1974
"10",10,10,"WARING, RH",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1974S000500006",6,"J","1974","ECOLOGICAL SOC AMER",1974
