"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,32,"Weaver, JE",1,"Univ Nebraska, Lincoln, NE USA.","univ nebraska",NA,NA,"lincoln","ne","usa",NA,NA,NA,"WOS:000200148100001",1,"J","1927","ECOLOGICAL SOC AMER",1927
"2",2,2,"Howell, AB",1,"US Biol Survey, Washington, DC USA.","us biol survey",NA,NA,"washington","dc","usa",NA,NA,NA,"WOS:000200148100002",2,"J","1927","ECOLOGICAL SOC AMER",1927
"3",3,56,"Shreve, F",1,"Desert Lab, Tucson, AZ USA.","desert lab",NA,NA,"tucson","az","usa",NA,NA,NA,"WOS:000200148100003",3,"J","1927","ECOLOGICAL SOC AMER",1927
"4",4,22,"Babcock, KW",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100004",4,"J","1927","ECOLOGICAL SOC AMER",1927
"5",5,5,"Allen, WE",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100005",5,"J","1927","ECOLOGICAL SOC AMER",1927
"6",6,6,"Kashkarov, D",1,"Middle Asiat State Univ, Tashkent, Turkestan.","middle asiat state univ",NA,NA,"tashkent",NA,"turkestan",NA,NA,NA,"WOS:000200148100006",6,"J","1927","ECOLOGICAL SOC AMER",1927
"7",7,7,"Lein, L",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100006",6,"J","1927","ECOLOGICAL SOC AMER",1927
"8",8,8,"Philip, CB",1,"Univ Minnesota, Minneapolis, MN USA.","univ minnesota",NA,NA,"minneapolis","mn","usa",NA,NA,NA,"WOS:000200148100007",7,"J","1927","ECOLOGICAL SOC AMER",1927
"9",9,21,"Klugh, AB",1,"Queens Univ, Kingston, ON, Canada.","queens univ",NA,NA,"kingston","on","canada",NA,NA,NA,"WOS:000200148100008",8,"J","1927","ECOLOGICAL SOC AMER",1927
"10",10,10,"Whelan, DB",1,"Univ Nebraska, Lincoln, NE USA.","univ nebraska",NA,NA,"lincoln","ne","usa",NA,NA,NA,"WOS:000200148100009",9,"J","1927","ECOLOGICAL SOC AMER",1927
"11",11,11,"Brown, HW",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100010",10,"J","1927","ECOLOGICAL SOC AMER",1927
"12",12,12,"Creaser, CW",1,"Johns Hopkins Univ, Baltimore, MD USA.","johns hopkins univ",NA,NA,"baltimore","md","usa",NA,NA,NA,"WOS:000200148100010",10,"J","1927","ECOLOGICAL SOC AMER",1927
"13",13,13,"Denny, FE",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100011",11,"J","1927","ECOLOGICAL SOC AMER",1927
"14",14,14,"Robertson, C",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100012",12,"J","1927","ECOLOGICAL SOC AMER",1927
"15",15,20,"Cook, WC",1,"Univ Minnesota, Minneapolis, MN USA.","univ minnesota",NA,NA,"minneapolis","mn","usa",NA,NA,NA,"WOS:000200148100015",13,"J","1927","ECOLOGICAL SOC AMER",1927
"16",16,39,"Jewell, ME",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100018",14,"J","1927","ECOLOGICAL SOC AMER",1927
"17",17,17,"Hubert, HE",1,"Ranara Biol Supply Co, New Orleans, LA USA.","ranara biol supply co",NA,NA,"new orleans","la","usa",NA,NA,NA,"WOS:000200148100019",15,"J","1927","ECOLOGICAL SOC AMER",1927
"18",18,18,"Shelford, VE",1,"Univ Illinois, Urbana, IL USA.","univ illinois",NA,NA,"urbana","il","usa",NA,NA,NA,"WOS:000200148100020",16,"J","1927","ECOLOGICAL SOC AMER",1927
"19",19,19,"Shantz, HL",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100021",17,"J","1927","ECOLOGICAL SOC AMER",1927
"20",20,20,"Cook, WC",1,"Univ Montana, Bozeman, MT USA.","univ montana",NA,NA,"bozeman","mt","usa",NA,NA,NA,"WOS:000200148100022",18,"J","1927","ECOLOGICAL SOC AMER",1927
"21",21,21,"Klugh, AB",1,"Queens Univ, Kingston, ON, Canada.","queens univ",NA,NA,"kingston","on","canada",NA,NA,NA,"WOS:000200148100023",19,"J","1927","ECOLOGICAL SOC AMER",1927
"22",22,22,"Babcock, KW",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100024",20,"J","1927","ECOLOGICAL SOC AMER",1927
"23",23,23,"Payne, NM",1,"Univ Penn, Zool Lab, Philadelphia, PA USA.","univ penn",NA,NA,"philadelphia","pa","usa",NA,NA,NA,"WOS:000200148100025",21,"J","1927","ECOLOGICAL SOC AMER",1927
"24",24,24,"Wherry, ET",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100026",22,"J","1927","ECOLOGICAL SOC AMER",1927
"25",25,25,"Bird, RD",1,"Univ Manitoba, Dept Zool, Winnipeg, MB, Canada.","univ manitoba","dept zool",NA,"winnipeg","mb","canada",NA,NA,NA,"WOS:000200148100027",23,"J","1927","ECOLOGICAL SOC AMER",1927
"26",26,21,"Klugh, AB",1,"Queens Univ, Kingston, ON, Canada.","queens univ",NA,NA,"kingston","on","canada",NA,NA,NA,"WOS:000200148100028",24,"J","1927","ECOLOGICAL SOC AMER",1927
"27",27,27,"Martin, JR",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100028",24,"J","1927","ECOLOGICAL SOC AMER",1927
"28",28,28,"Stantchinsky, VV",1,"Univ Smolensk, Zool Lab, Smolensk, Russia.","univ smolensk",NA,NA,"zool lab","smolensk","russia",NA,NA,NA,"WOS:000200148100029",25,"J","1927","ECOLOGICAL SOC AMER",1927
"29",29,29,"Hayes, WP",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100030",26,"J","1927","ECOLOGICAL SOC AMER",1927
"30",30,30,"Beadle, GW",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100031",27,"J","1927","ECOLOGICAL SOC AMER",1927
"31",31,31,"Keim, FD",1,"Univ Nebraska, Lincoln, NE USA.","univ nebraska",NA,NA,"lincoln","ne","usa",NA,NA,NA,"WOS:000200148100031",27,"J","1927","ECOLOGICAL SOC AMER",1927
"32",32,32,"Weaver, JE",1,"Univ Nebraska, Lincoln, NE USA.","univ nebraska",NA,NA,"lincoln","ne","usa",NA,NA,NA,"WOS:000200148100033",28,"J","1927","ECOLOGICAL SOC AMER",1927
"33",33,33,"Weese, AO",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200148100035",29,"J","1927","ECOLOGICAL SOC AMER",1927
