"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"Moore, JA",1,"Columbia Univ, Dept Zool, New York, NY USA.","columbia univ",NA,NA,"new york","ny","usa",NA,NA,NA,"WOS:000200149600001",1,"J","1939","ECOLOGICAL SOC AMER",1939
"2",2,2,"Noll, WC",1,"Univ Nebraska, Lincoln, NE USA.","univ nebraska",NA,NA,"lincoln","ne","usa",NA,NA,NA,"WOS:000200149600002",2,"J","1939","ECOLOGICAL SOC AMER",1939
"3",3,3,"Frank, FA",1,"Northwestern Univ, Dept Zool, Evanston, IL USA.","northwestern univ",NA,NA,"evanston","il","usa",NA,NA,NA,"WOS:000200149600003",3,"J","1939","ECOLOGICAL SOC AMER",1939
"4",4,11,"Voss, J",1,"Manual Training High Sch, Peoria, IL USA.","manual training high sch",NA,NA,"peoria","il","usa",NA,NA,NA,"WOS:000200149600004",4,"J","1939","ECOLOGICAL SOC AMER",1939
"5",5,5,"Clarke, GL",1,"Harvard Univ, Biol Lab, Cambridge, MA USA.","harvard univ",NA,NA,"cambridge","ma","usa",NA,NA,NA,"WOS:000200149600005",5,"J","1939","ECOLOGICAL SOC AMER",1939
"6",6,6,"Lakela, O",1,"Teachers Coll, Duluth, MN USA.","teachers coll",NA,NA,"duluth","mn","usa",NA,NA,NA,"WOS:000200149600006",6,"J","1939","ECOLOGICAL SOC AMER",1939
"7",7,7,"Krecker, FH",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149600007",7,"J","1939","ECOLOGICAL SOC AMER",1939
"8",8,8,"Hansen, HP",1,"Univ Washington, Seattle, WA USA.","univ washington",NA,NA,"seattle","wa","usa",NA,NA,NA,"WOS:000200149600008",8,"J","1939","ECOLOGICAL SOC AMER",1939
"9",9,9,"Brotzky, V",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149600009",9,"J","1939","ECOLOGICAL SOC AMER",1939
"10",10,10,"Zenkewitch, L",1,"Moscow Univ, Zool Inst, Moscow, USSR.","moscow univ",NA,NA,"zool inst","moscow","ussr",NA,NA,NA,"WOS:000200149600009",9,"J","1939","ECOLOGICAL SOC AMER",1939
"11",11,11,"Voss, J",1,"Tech High Sch, Peoria, IL USA.","tech high sch",NA,NA,"peoria","il","usa",NA,NA,NA,"WOS:000200149600010",10,"J","1939","ECOLOGICAL SOC AMER",1939
"12",12,12,"Fuller, GD",1,"Univ Chicago, Chicago, IL USA.","univ chicago",NA,NA,"chicago","il","usa",NA,NA,NA,"WOS:000200149600012",11,"J","1939","ECOLOGICAL SOC AMER",1939
"13",13,13,"Hibben, FC",1,"Univ New Mexico, Albuquerque, NM USA.","univ new mexico",NA,NA,"albuquerque","nm","usa",NA,NA,NA,"WOS:000200149600014",12,"J","1939","ECOLOGICAL SOC AMER",1939
"14",14,14,"Reed, JF",1,"Baldwin Wallace Coll, Berea, OH USA.","baldwin wallace coll",NA,NA,"berea","oh","usa",NA,NA,NA,"WOS:000200149600015",13,"J","1939","ECOLOGICAL SOC AMER",1939
"15",15,15,"[Anonymous]",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200149600016",14,"J","1939","ECOLOGICAL SOC AMER",1939
"16",16,16,"Bennett, MA",1,"Univ Chicago, Chicago, IL USA.","univ chicago",NA,NA,"chicago","il","usa",NA,NA,NA,"WOS:000200151200001",15,"J","1939","ECOLOGICAL SOC AMER",1939
"17",17,17,"Hall, TF",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200002",16,"J","1939","ECOLOGICAL SOC AMER",1939
"18",18,18,"Penfound, WT",1,"Tulane Univ, New Orleans, LA USA.","tulane univ",NA,NA,"new orleans","la","usa",NA,NA,NA,"WOS:000200151200002",16,"J","1939","ECOLOGICAL SOC AMER",1939
"19",19,19,"Lutherman, CZ",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200003",17,"J","1939","ECOLOGICAL SOC AMER",1939
"20",20,20,"Miller, EV",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200003",17,"J","1939","ECOLOGICAL SOC AMER",1939
"21",21,21,"Park, T",1,"Univ Chicago, Hull Zool Lab, Chicago, IL USA.","univ chicago",NA,NA,"chicago","il","usa",NA,NA,NA,"WOS:000200151200003",17,"J","1939","ECOLOGICAL SOC AMER",1939
"22",22,22,"Hansen, WW",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200004",18,"J","1939","ECOLOGICAL SOC AMER",1939
"23",23,51,"Weaver, JE",1,"Univ Nebraska, Lincoln, NE USA.","univ nebraska",NA,NA,"lincoln","ne","usa",NA,NA,NA,"WOS:000200151200004",18,"J","1939","ECOLOGICAL SOC AMER",1939
"24",24,24,"Stebler, AM",1,"Game Div, Dept Conservat, Lawnsing, MI USA.","game div",NA,NA,"lawnsing","mi","usa",NA,NA,NA,"WOS:000200151200005",19,"J","1939","ECOLOGICAL SOC AMER",1939
"25",25,25,"Biswell, HH",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200006",20,"J","1939","ECOLOGICAL SOC AMER",1939
"26",26,26,"Hormay, AL",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200006",20,"J","1939","ECOLOGICAL SOC AMER",1939
"27",27,27,"Talbot, MW",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200006",20,"J","1939","ECOLOGICAL SOC AMER",1939
"28",28,28,"Wallihan, EF",1,"Cornell Univ, Ithaca, NY USA.","cornell univ",NA,NA,"ithaca","ny","usa",NA,NA,NA,"WOS:000200151200007",21,"J","1939","ECOLOGICAL SOC AMER",1939
"29",29,29,"Emerson, AE",1,"Univ Chicago, Chicago, IL USA.","univ chicago",NA,NA,"chicago","il","usa",NA,NA,NA,"WOS:000200151200015",22,"J","1939","ECOLOGICAL SOC AMER",1939
"30",30,30,"Wilson, LR",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200017",23,"J","1939","ECOLOGICAL SOC AMER",1939
"31",31,31,"Ives, RL",1,"Univ Colorado, Boulder, CO USA.","univ colorado",NA,NA,"boulder","co","usa",NA,NA,NA,"WOS:000200151200018",24,"J","1939","ECOLOGICAL SOC AMER",1939
"32",32,32,"Rau, P",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000200151200019",25,"J","1939","ECOLOGICAL SOC AMER",1939
