"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"Methratta, Elizabeth T.",1,"Univ Penn, Dept Biol, Philadelphia, PA 19104 USA.","univ penn","dept biol","19104","philadelphia","pa","usa",NA,NA,NA,"WOS:000261053500017",1,"J","2008","WILEY",2008
"2",2,2,"Petraitis, Peter S.",2,"Univ Penn, Dept Biol, Philadelphia, PA 19104 USA.","univ penn","dept biol","19104","philadelphia","pa","usa",NA,"D-1048-2013",NA,"WOS:000261053500017",1,"J","2008","WILEY",2008
"3",3,3,"Heine, Paul",4,"Duke Univ, Levine Sci Res Ctr, Nicholas Sch Environm & Earth Sci, Durham, NC 27708 USA.","duke univ","nicholas sch environm & earth sci","27708","durham","nc","usa",NA,NA,NA,"WOS:000259995100025",2,"J","2008","ECOLOGICAL SOC AMER",2008
"4",4,4,"Li, Jianwei",1,"Duke Univ, Levine Sci Res Ctr, Nicholas Sch Environm & Earth Sci, Durham, NC 27708 USA.","duke univ","nicholas sch environm & earth sci","27708","durham","nc","usa",NA,"G-5299-2012","0000-0002-0429-3627","WOS:000259995100025",2,"J","2008","ECOLOGICAL SOC AMER",2008
"5",5,5,"Mendoza, Arlene",3,"Duke Univ, Levine Sci Res Ctr, Nicholas Sch Environm & Earth Sci, Durham, NC 27708 USA.","duke univ","nicholas sch environm & earth sci","27708","durham","nc","usa",NA,NA,NA,"WOS:000259995100025",2,"J","2008","ECOLOGICAL SOC AMER",2008
"6",6,6,"Richter, Daniel deB.",2,"Duke Univ, Levine Sci Res Ctr, Nicholas Sch Environm & Earth Sci, Durham, NC 27708 USA.","duke univ","nicholas sch environm & earth sci","27708","durham","nc","usa",NA,NA,NA,"WOS:000259995100025",2,"J","2008","ECOLOGICAL SOC AMER",2008
"7",7,7,"Engen, Steinar",1,"Norwegian Univ Sci & Technol, Ctr Conservat Biol, Dept Math Sci, N-7491 Trondheim, Norway.","norwegian univ sci & technol","ctr conservat biol","7491"," trondheim",NA,"norway",NA,NA,NA,"WOS:000259259300027",3,"J","2008","ECOLOGICAL SOC AMER",2008
"8",8,8,"Lande, Russell",2,"Univ London Imperial Coll Sci Technol & Med, Div Biol, Ascot SL5 7PY, Berks, England.","univ london imperial coll sci technol & med","div biol","sl5 7py","ascot ","berks","england",NA,NA,NA,"WOS:000259259300027",3,"J","2008","ECOLOGICAL SOC AMER",2008
"9",9,9,"Saether, Bernt-Erik",3,"Norwegian Univ Sci & Technol, Ctr Conservat Biol, Dept Biol, N-7491 Trondheim, Norway.","norwegian univ sci & technol","ctr conservat biol","7491"," trondheim",NA,"norway",NA,NA,NA,"WOS:000259259300027",3,"J","2008","ECOLOGICAL SOC AMER",2008
"10",10,10,"Deichner, Oskar",10,"OKON, Assoc Landscape Ecol Limnol & Environm Planning, D-93183 Kallmunz, Germany.","okon","assoc landscape ecol limnol & environm planning","93183"," kallmunz",NA,"germany",NA,NA,NA,"WOS:000259259300004",4,"J","2008","WILEY",2008
